A7B8 : 20 F2 A3 : JSR A3F2       : 6 : A=80 X=6C Y=82 SP=EA N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 04-FF:934A????:??:?? = ???????????????
A80A : A5 35    : LDA 35         : 3 : A=00 X=FB Y=08 SP=EC N=0 V=1 D=0 I=1 Z=1 C=1 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A80C : E5 46    : SBC 46         : 3 : A=00 X=FB Y=08 SP=EC N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A80E : 85 35    : STA 35         : 3 : A=00 X=FB Y=08 SP=EC N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A810 : A5 34    : LDA 34         : 3 : A=00 X=FB Y=08 SP=EC N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A812 : E5 45    : SBC 45         : 3 : A=00 X=FB Y=08 SP=EC N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A814 : 85 34    : STA 34         : 3 : A=00 X=FB Y=08 SP=EC N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A816 : A5 33    : LDA 33         : 3 : A=00 X=FB Y=08 SP=EC N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A818 : E5 44    : SBC 44         : 3 : A=00 X=FB Y=08 SP=EC N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A81A : 85 33    : STA 33         : 3 : A=00 X=FB Y=08 SP=EC N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A81C : A5 32    : LDA 32         : 3 : A=00 X=FB Y=08 SP=EC N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A81E : E5 43    : SBC 43         : 3 : A=00 X=FB Y=08 SP=EC N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A820 : 85 32    : STA 32         : 3 : A=00 X=FB Y=08 SP=EC N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A822 : A5 31    : LDA 31         : 3 : A=80 X=FB Y=08 SP=EC N=1 V=0 D=0 I=1 Z=0 C=1 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A824 : E5 42    : SBC 42         : 3 : A=38 X=FB Y=08 SP=EC N=0 V=1 D=0 I=1 Z=0 C=1 : FWA 00-82:80000000:00:00 = +2.00000000E+00 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A826 : 85 31    : STA 31         : 3 : A=38 X=FB Y=08 SP=EC N=0 V=1 D=0 I=1 Z=0 C=1 : FWA 00-82:38000000:00:00 = +8.75000000E-01 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A828 : 98       : TYA            : 2 : A=08 X=FB Y=08 SP=EC N=0 V=1 D=0 I=1 Z=0 C=1 : FWA 00-82:38000000:00:00 = +8.75000000E-01 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A829 : 0A       : ASL A          : 2 : A=10 X=FB Y=08 SP=EC N=0 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:38000000:00:00 = +8.75000000E-01 : FWB 00-00:40000000:00:?? = +7.34683969E-40
A82A : 90 0B    : BCC A837       : 3 : A=10 X=FB Y=08 SP=EC N=0 V=1 D=0 I=1 Z=0 C=0 : FWA 00-82:38000000:00:00 = +8.75000000E-01 : FWB 00-00:40000000:00:?? = +7.34683969E-40
