H $a323`f : stx  $33 [$0033`m]       98 00 00 ed nvdiZC (00)
H $a325`f : ldx  $35 [$0035`m]       98 00 00 ed nvdiZC (00)
H $a327`f : stx  $34 [$0034`m]       98 00 00 ed nvdiZC (00)
H $a329`f : sty  $35 [$0035`m]       98 00 00 ed nvdiZC (00)
H $a32b`f : sec                      98 00 00 ed nvdiZC (e9)
H $a32c`f : sbc  #$08                90 00 00 ed NvdizC (08)
H $a32e`f : sta  $30 [$0030`m]       90 00 00 ed NvdizC (90)
H $a330`f : bcs  $a313               90 00 00 ed NvdizC (01)
H $a313`f : ldy  $31 [$0031`m]       90 00 00 ed nvdiZC (00)
H $a315`f : bmi  $a2ec               90 00 00 ed nvdiZC (00)
H $a317`f : bne  $a33a               90 00 00 ed nvdiZC (00)
H $a319`f : ldx  $32 [$0032`m]       90 02 00 ed nvdizC (02)
H $a31b`f : stx  $31 [$0031`m]       90 02 00 ed nvdizC (02)
H $a31d`f : ldx  $33 [$0033`m]       90 00 00 ed nvdiZC (00)
H $a31f`f : stx  $32 [$0032`m]       90 00 00 ed nvdiZC (00)
H $a321`f : ldx  $34 [$0034`m]       90 00 00 ed nvdiZC (00)
H $a323`f : stx  $33 [$0033`m]       90 00 00 ed nvdiZC (00)
H $a325`f : ldx  $35 [$0035`m]       90 00 00 ed nvdiZC (00)
H $a327`f : stx  $34 [$0034`m]       90 00 00 ed nvdiZC (00)
H $a329`f : sty  $35 [$0035`m]       90 00 00 ed nvdiZC (00)
H $a32b`f : sec                      90 00 00 ed nvdiZC (e9)
H $a32c`f : sbc  #$08                88 00 00 ed NvdizC (08)
H $a32e`f : sta  $30 [$0030`m]       88 00 00 ed NvdizC (88)
H $a330`f : bcs  $a313               88 00 00 ed NvdizC (01)
H $a313`f : ldy  $31 [$0031`m]       88 00 02 ed nvdizC (02)
H $a315`f : bmi  $a2ec               88 00 02 ed nvdizC (00)
H $a317`f : bne  $a33a               88 00 02 ed nvdizC (01)
H $a33a`f : asl  $35 [$0035`m]       88 00 02 ed nvdiZc (00)
H $a33c`f : rol  $34 [$0034`m]       88 00 02 ed nvdiZc (00)
H $a33e`f : rol  $33 [$0033`m]       88 00 02 ed nvdiZc (00)
H $a340`f : rol  $32 [$0032`m]       88 00 02 ed nvdiZc (00)
H $a342`f : rol  $31 [$0031`m]       88 00 02 ed nvdizc (04)
H $a344`f : sbc  #$00                87 00 02 ed NvdizC (00)
H $a346`f : sta  $30 [$0030`m]       87 00 02 ed NvdizC (87)
H $a348`f : bcs  $a336               87 00 02 ed NvdizC (01)
H $a336`f : ldy  $31 [$0031`m]       87 00 04 ed nvdizC (04)
H $a338`f : bmi  $a2ec               87 00 04 ed nvdizC (00)
H $a33a`f : asl  $35 [$0035`m]       87 00 04 ed nvdiZc (00)
H $a33c`f : rol  $34 [$0034`m]       87 00 04 ed nvdiZc (00)
H $a33e`f : rol  $33 [$0033`m]       87 00 04 ed nvdiZc (00)
H $a340`f : rol  $32 [$0032`m]       87 00 04 ed nvdiZc (00)
H $a342`f : rol  $31 [$0031`m]       87 00 04 ed nvdizc (08)
H $a344`f : sbc  #$00                86 00 04 ed NvdizC (00)
H $a346`f : sta  $30 [$0030`m]       86 00 04 ed NvdizC (86)
H $a348`f : bcs  $a336               86 00 04 ed NvdizC (01)
H $a336`f : ldy  $31 [$0031`m]       86 00 08 ed nvdizC (08)
H $a338`f : bmi  $a2ec               86 00 08 ed nvdizC (00)
H $a33a`f : asl  $35 [$0035`m]       86 00 08 ed nvdiZc (00)
H $a33c`f : rol  $34 [$0034`m]       86 00 08 ed nvdiZc (00)
H $a33e`f : rol  $33 [$0033`m]       86 00 08 ed nvdiZc (00)
H $a340`f : rol  $32 [$0032`m]       86 00 08 ed nvdiZc (00)
H $a342`f : rol  $31 [$0031`m]       86 00 08 ed nvdizc (10)
H $a344`f : sbc  #$00                85 00 08 ed NvdizC (00)
H $a346`f : sta  $30 [$0030`m]       85 00 08 ed NvdizC (85)
