A7B4 : 20 FA 92 : JSR 92FA       : 6 : A=A7 X=B6 Y=04 SP=ED N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-A0:00000902:00:00 = +2.30600000E+03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
92FA : 20 EC AD : JSR ADEC       : 6 : A=A7 X=B6 Y=04 SP=EB N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-A0:00000902:00:00 = +2.30600000E+03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A099 : C8       : INY            : 2 : A=02 X=00 Y=06 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A09A : B1 19    : LDA (19),Y     : 5 : A=0D X=00 Y=06 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A09C : C9 2E    : CMP #2E        : 2 : A=0D X=00 Y=06 SP=E9 N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A09E : D0 08    : BNE A0A8       : 3 : A=0D X=00 Y=06 SP=E9 N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A0A8 : C9 45    : CMP #45        : 2 : A=0D X=00 Y=06 SP=E9 N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A0AA : F0 35    : BEQ A0E1       : 2 : A=0D X=00 Y=06 SP=E9 N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A0AC : C9 3A    : CMP #3A        : 2 : A=0D X=00 Y=06 SP=E9 N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A0AE : B0 38    : BCS A0E8       : 2 : A=0D X=00 Y=06 SP=E9 N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A0B0 : E9 2F    : SBC #2F        : 2 : A=DD X=00 Y=06 SP=E9 N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
A0B2 : 90 34    : BCC A0E8       : 3 : A=DD X=00 Y=06 SP=E9 N=1 V=0 D=0 I=1 Z=0 C=0 : FWA 10-A0:00000000:02:00 = +7.81250000E-03 : FWB 00-00:00000000:00:?? = +0.00000000E+00
