A808 : 20 9F 97 : JSR 979F       : 6 : A=6C X=6C Y=07 SP=ED N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-8C:00000902:00:00 = +2.19917297E-03 : FWB 09-FF:904A????:??:?? = ???????????????
979F : 20 78 AD : JSR AD78       : 6 : A=6C X=6C Y=07 SP=EB N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-8C:00000902:00:00 = +2.19917297E-03 : FWB 09-FF:904A????:??:?? = ???????????????
A363 : F0 06    : BEQ A36B       : 3 : A=00 X=FF Y=00 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=0 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A36B : A5 35    : LDA 35         : 3 : A=02 X=FF Y=00 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A36D : 85 2A    : STA 2A         : 3 : A=02 X=FF Y=00 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A36F : A5 34    : LDA 34         : 3 : A=00 X=FF Y=00 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=0 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A371 : 85 2B    : STA 2B         : 3 : A=00 X=FF Y=00 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=0 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A373 : A5 33    : LDA 33         : 3 : A=00 X=FF Y=00 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=0 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A375 : 85 2C    : STA 2C         : 3 : A=00 X=FF Y=00 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=0 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A377 : A5 48    : LDA 48         : 3 : A=00 X=FF Y=00 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=0 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A379 : D0 03    : BNE A37E       : 2 : A=00 X=FF Y=00 SP=E9 N=0 V=0 D=0 I=1 Z=1 C=0 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A37B : 1A       : INC A          : 2 : A=01 X=FF Y=00 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=0 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A37C : 38       : SEC            : 2 : A=01 X=FF Y=00 SP=E9 N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
A37D : 60       : RTS            : 6 : A=01 X=FF Y=00 SP=EB N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
ADB9 : 90 13    : BCC ADCE       : 2 : A=01 X=FF Y=00 SP=EB N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
ADBB : 60       : RTS            : 6 : A=01 X=FF Y=00 SP=ED N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
97A2 : F0 F8    : BEQ 979C       : 2 : A=01 X=FF Y=00 SP=ED N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
97A4 : 30 F5    : BMI 979B       : 2 : A=01 X=FF Y=00 SP=ED N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
97A6 : 4C 8D 82 : JMP 828D       : 3 : A=01 X=FF Y=00 SP=ED N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-8C:00000000:02:00 = +7.45058060E-09 : FWB 09-FF:904A????:??:?? = ???????????????
828D : 64 35    : STZ 35         : 3 : A=01 X=FF Y=00 SP=ED N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 10-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
828F : A5 2D    : LDA 2D         : 3 : A=00 X=FF Y=00 SP=ED N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 10-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
8291 : 85 2E    : STA 2E         : 3 : A=00 X=FF Y=00 SP=ED N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
8293 : 10 05    : BPL 829A       : 3 : A=00 X=FF Y=00 SP=ED N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
829A : D0 2C    : BNE 82C8       : 2 : A=00 X=FF Y=00 SP=ED N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
829C : 64 34    : STZ 34         : 3 : A=00 X=FF Y=00 SP=ED N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
829E : A4 2A    : LDY 2A         : 3 : A=00 X=FF Y=02 SP=ED N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82A0 : A5 2C    : LDA 2C         : 3 : A=00 X=FF Y=02 SP=ED N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82A2 : D0 1A    : BNE 82BE       : 2 : A=00 X=FF Y=02 SP=ED N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82A4 : 64 33    : STZ 33         : 3 : A=00 X=FF Y=02 SP=ED N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82A6 : A5 2B    : LDA 2B         : 3 : A=00 X=FF Y=02 SP=ED N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82A8 : F0 2E    : BEQ 82D8       : 3 : A=00 X=FF Y=02 SP=ED N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82D8 : 64 32    : STZ 32         : 3 : A=00 X=FF Y=02 SP=ED N=0 V=0 D=0 I=1 Z=1 C=1 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82DA : 98       : TYA            : 2 : A=02 X=FF Y=02 SP=ED N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
82DB : D0 17    : BNE 82F4       : 3 : A=02 X=FF Y=02 SP=ED N=0 V=0 D=0 I=1 Z=0 C=1 : FWA 00-8C:00000000:00:00 = +0.00000000E+00 : FWB 09-FF:904A????:??:?? = ???????????????
